"","Artist.ID","Band.ID","Band.name"
"3714",-1215,3540359509,"Churchburn"
"3715",-1215,94509,"Silent Raven Fell"
"3731",-1218,3013,"Council of the Fallen"
"3732",-1218,148,"Deicide"
"3733",-1218,3540265080,"Order of Ennead"
"3734",-1218,3540367009,"Shadow Society"
"3848",-1270,10278,"Earth"
"3929",-1323,79301,"Blood & Time"
"3930",-1323,65577,"Scott Kelly"
"3931",-1323,3540292809,"Shrinebuilder"
"3932",-1323,3540365522,"Corrections House"
"3933",-1323,60,"Neurosis"
"3934",-1323,5670,"Tribes of Neurot"
"3948",-1326,5670,"Tribes of Neurot"
"3949",-1326,60,"Neurosis"
"3950",-1326,10110,"Sacrilege B.C."
"3978",-1337,3540418656,"Serpentine Dominion"
"3979",-1337,45901,"Corpsegrinder"
"3980",-1337,9919,"Paths of Possession"
"3981",-1337,186,"Cannibal Corpse"
"3982",-1337,893,"Monstrosity"
"3983",-1337,3540344431,"Voodoo Gods"
"4011",-1345,125841,"Warrel Dane"
"4012",-1345,5077,"Serpent's Knight"
"4013",-1345,44,"Nevermore"
"4014",-1345,343,"Sanctuary"
"4025",-1352,3540261257,"Jeff Loomis"
"4026",-1352,115351,"Fear-Tech"
"4027",-1352,115994,"System"
"4028",-1352,10,"Arch Enemy"
"4029",-1352,44,"Nevermore"
"4030",-1352,14586,"Experiment Fear"
"4031",-1352,3540378073,"Conquering Dystopia"
"4041",-1355,343,"Sanctuary"
"4042",-1355,44,"Nevermore"
"4049",-1357,3540369518,"Ashes of Ares"
"4050",-1357,3540393846,"Ghost Ship Octavius"
"4051",-1357,4080,"Pure Sweet Hell"
"4052",-1357,18,"Armageddon"
"4053",-1357,44,"Nevermore"
"4068",-1364,44,"Nevermore"
"4069",-1364,374,"Forbidden"
"4298",-1422,343,"Sanctuary"
"4299",-1423,343,"Sanctuary"
"4308",-1426,343,"Sanctuary"
"4378",-1463,40000,"Uncomposing"
"4379",-1463,38851,"Pessimyst"
"4380",-1463,3540421861,"Pillorian"
"4381",-1463,8394,"Sculptured"
"4382",-1463,305,"Agalloch"
"4388",-1465,3540337869,"V.B.G."
"4389",-1465,8394,"Sculptured"
"4390",-1465,305,"Agalloch"
"4391",-1465,16569,"Subterranean Masquerade"
"4392",-1465,24834,"Nothing"
"4393",-1465,26634,"Celestiial"
"4394",-1465,3540417211,"Khôrada"
"4395",-1466,3540417211,"Khôrada"
"4396",-1466,3540422731,"Extremity"
"4397",-1466,3540362693,"Vhol"
"4398",-1466,5642,"Ludicra"
"4399",-1466,305,"Agalloch"
"4400",-1468,6795,"Trivium"
"5094",-1723,24,"Cradle of Filth"
"5095",-1723,73633,"Abigail Williams"
"5169",-1750,3625,"Engrave"
"5170",-1750,4849,"Entety"
"5171",-1750,529,"Agent Steel"
"5172",-1750,706,"Malice"
"5173",-1750,1256,"Coffin Texts"
"5174",-1750,914,"Possessed"
"5175",-1750,3540362965,"Masters of Metal"
"5176",-1750,44104,"Saprophagous"
"5333",-1799,3540355577,"Preteen Deathfuk"
"5334",-1799,3540418755,"The Fourth Eye"
"5335",-1799,122494,"Secretly in Pain"
"5336",-1799,96549,"Deep-pression"
"5337",-1799,97532,"Happy Days"
"5338",-1799,105737,"Nostalgie"
"5339",-1799,3540257897,"..."
"5340",-1799,3540255712,"Transitus Mortalis"
"5341",-1799,42949,"Mysteriarch"
"5342",-1799,3540327372,"Wilted"
"5343",-1799,3540338711,"Nuclear Infantry"
"5344",-1799,3540299025,"Withering Night"
"5345",-1799,3540285914,"Final Thoughts"
"5346",-1799,3540290497,"Hanging Garden"
"5347",-1799,3540319100,"Photophobia"
"5348",-1799,3540313569,"Plutonian Shore"
"5495",-1858,12739,"Cobalt"
"5496",-1858,3540390906,"Konstrux"
"5502",-1861,12739,"Cobalt"
"5503",-1861,3540390906,"Konstrux"
"5504",-1861,3540369938,"Recluse"
"5505",-1861,3540409499,"Grimness Enshroud"
"5508",-1865,1042,"Burning Witch"
"5509",-1865,612,"Sunn O)))"
"5510",-1865,650,"Thorr's Hammer"
"5511",-1865,2258,"Khanate"
"5512",-1865,2895,"Teeth of Lions Rule the Divine"
"5513",-1865,95763,"Gravetemple"
"5514",-1865,128920,"Pentemple"
